,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.965,0.9650445632798573,0.965,0.9649863177272501
Gradient Boosting,0.9125,0.9124314424946206,0.9125,0.9122945046229469
SVM,0.895,0.8968595976126299,0.895,0.8956306226521207
Random Forest,0.8775,0.8776492432897136,0.8775,0.8773997148548162
Decision Tree,0.83,0.8318831447022742,0.83,0.830168476083014
KNN,0.5175,0.5266508223881238,0.5175,0.5199143534769032
